gamma,Load
-0.003501992,-4.7
-0.003544269,-4.709
-0.003490583,-4.688
-0.003524846,-4.642
-0.003552997,-4.568
-0.003587385,-4.474
-0.003605852,-4.349
-0.003569007,-4.202
-0.003494389,-4.034
-0.003440892,-3.845
-0.00335532,-3.61
-0.003280935,-3.381
-0.003200697,-3.14
-0.003071107,-2.887
-0.002942205,-2.634
-0.002818529,-2.341
-0.002629063,-2.042
-0.002494711,-1.785
-0.002317931,-1.495
-0.002135567,-1.218
-0.001921388,-0.931
-0.001766032,-0.668
-0.001559564,-0.424
-0.001309917,-0.208
-0.00114803,0.006
-0.000823184,0.159
-0.000654838,0.293
-0.000446824,0.421
-0.000262146,0.5
-9.54614E-05,0.568
8.7108E-05,0.65
0.000290726,0.705
0.000431475,0.812
0.000657929,0.876
0.00078198,0.943
0.000981337,1.035
0.001119208,1.105
0.001369267,1.157
0.001588412,1.248
0.001725105,1.355
0.001811516,1.477
0.001949763,1.566
0.002096292,1.66
0.00223445,1.767
0.002373072,1.883
0.002512972,1.965
0.002703726,2.005
0.002910042,2.161
0.002941588,2.243
0.003066229,2.365
0.003138167,2.487
0.003245082,2.563
0.003365925,2.682
0.003457768,2.75
0.003539873,2.878
0.003620048,2.945
0.003708595,3.018
0.003783231,3.101
0.0038451,3.177
0.0039601,3.232
0.003994398,3.281
0.004040445,3.305
0.004091289,3.333
0.004140088,3.384
0.004138363,3.445
0.004230403,3.479
0.004278612,3.482
0.004307237,3.51
0.00435784,3.528
0.004379809,3.571
0.004429268,3.583
0.004464094,3.586
0.004420495,3.589
0.004477602,3.601
0.004495971,3.604
0.004491379,3.604
0.004503815,3.601
0.004542795,3.598
0.004510364,3.568
0.004446985,3.537
0.004494014,3.467
0.004524605,3.43
0.004500429,3.384
0.004525793,3.326
0.004559501,3.278
0.004495694,3.204
0.004454186,3.128
0.004481265,3.043
0.004446467,2.939
0.004400804,2.866
0.004381614,2.759
0.004295542,2.643
0.004248441,2.554
0.004151496,2.432
0.004039149,2.335
0.004001412,2.206
0.003909586,2.084
0.003839042,1.947
0.003772492,1.846
0.003679049,1.73
0.003559367,1.593
0.003447601,1.468
0.00336488,1.352
0.0032741,1.245
0.003162879,1.117
0.003064076,0.989
0.002969141,0.888
0.002822192,0.757
0.002713589,0.665
0.002638435,0.546
0.002417386,0.449
0.00230151,0.345
0.002158867,0.22
0.001998249,0.134
0.001880461,0.031
0.001693165,-0.04
0.001542741,-0.113
0.001303341,-0.229
0.001189136,-0.323
0.001016894,-0.394
0.000851246,-0.491
0.00067041,-0.571
0.000518762,-0.693
0.000343661,-0.76
0.000174672,-0.87
1.55097E-05,-0.967
-0.000162664,-1.093
-0.000319396,-1.212
-0.000452872,-1.324
-0.000652953,-1.447
-0.000780809,-1.587
-0.000953927,-1.685
-0.001101206,-1.837
-0.001233039,-1.978
-0.00144426,-2.115
-0.001537523,-2.249
-0.00169656,-2.383
-0.001877218,-2.53
-0.001919566,-2.655
-0.002071768,-2.841
-0.002228009,-2.96
-0.002319298,-3.116
-0.002468596,-3.244
-0.002562369,-3.391
-0.002732172,-3.543
-0.002774832,-3.683
-0.002858143,-3.818
-0.002997775,-3.946
-0.003068766,-4.105
-0.003178951,-4.236
-0.003244358,-4.346
-0.00334191,-4.477
-0.003462316,-4.626
-0.0035829,-4.73
-0.003645913,-4.837
-0.003720879,-4.904
-0.003808085,-4.993
-0.003888305,-5.078
-0.003985795,-5.161
-0.004047646,-5.215
-0.004110614,-5.267
-0.004233333,-5.307
-0.004260466,-5.362
-0.004328294,-5.429
-0.004339623,-5.472
-0.004436282,-5.496
-0.004507031,-5.536
-0.004502064,-5.56
-0.004580068,-5.594
-0.004630162,-5.591
-0.004686938,-5.6
-0.004678433,-5.646
-0.004659028,-5.627
-0.004730108,-5.624
-0.004735889,-5.64
-0.004739998,-5.627
-0.004720504,-5.606
-0.00474325,-5.594
-0.004766872,-5.566
-0.004762986,-5.527
-0.004772983,-5.508
-0.004775467,-5.444
-0.004834405,-5.383
-0.004823175,-5.313
-0.004873367,-5.225
-0.004860011,-5.176
-0.004809845,-5.081
-0.004750675,-4.971
-0.004766702,-4.868
-0.004732494,-4.773
-0.004701671,-4.633
-0.004625293,-4.529
-0.004604208,-4.385
-0.004558617,-4.257
-0.004435728,-4.102
-0.004404932,-3.979
-0.004300188,-3.827
-0.004251193,-3.647
-0.004184455,-3.506
-0.004086876,-3.333
-0.004042232,-3.152
-0.00398349,-2.994
-0.003859787,-2.798
-0.003808979,-2.646
-0.003675717,-2.472
-0.003634048,-2.283
-0.003504387,-2.103
-0.003418092,-1.935
-0.003328848,-1.758
-0.003217627,-1.566
-0.003102457,-1.419
-0.0029881,-1.251
-0.002830975,-1.083
-0.002779201,-0.928
-0.002652649,-0.754
-0.002545957,-0.62
-0.002392022,-0.455
-0.002244108,-0.323
-0.002112106,-0.208
-0.001978826,-0.095
-0.001854534,0.027
-0.001685964,0.122
-0.001523059,0.177
-0.001377048,0.253
-0.001240186,0.333
-0.001107058,0.403
-0.000896364,0.473
-0.000720281,0.543
-0.000455329,0.61
-0.000313348,0.659
-0.000147235,0.711
0.000111186,0.784
0.000196212,0.833
0.000408336,0.909
0.000673108,0.937
0.000870383,1.019
0.001034906,1.111
0.001185223,1.154
0.001364317,1.257
0.001441544,1.346
0.001599437,1.416
0.001810614,1.495
0.001904145,1.578
0.002048897,1.682
0.002195604,1.767
0.002307263,1.834
0.002468078,1.941
0.00248391,2.054
0.002659993,2.133
0.002753659,2.219
0.002859055,2.325
0.002970741,2.399
0.003057134,2.481
0.003408219,2.417
0.003566604,2.591
0.003570723,2.649
0.003650272,2.762
0.003727812,2.832
0.003833101,2.899
0.003842741,2.969
0.003965764,3.04
0.004060386,3.104
0.004126275,3.174
0.004149013,3.217
0.004162039,3.281
0.004244501,3.299
0.004264799,3.363
0.004358822,3.403
0.004351193,3.418
0.004404476,3.464
0.004394363,3.491
0.004442178,3.491
0.00446505,3.543
0.004463683,3.528
0.004464237,3.543
0.004489967,3.525
0.004494273,3.522
0.004491128,3.519
0.004512794,3.497
0.004467944,3.461
0.004485393,3.464
0.004544617,3.375
0.004573206,3.363
0.004551648,3.302
0.004564594,3.214
0.004539435,3.192
0.00444895,3.064
0.004457679,2.997
4.40E-03,2.878
0.004358215,2.798
0.004361914,2.713
0.004220209,2.576
0.004256169,2.475
0.004139846,2.362
0.004070633,2.267
0.003944644,2.136
0.003880095,2.02
0.003801903,1.907
0.003706629,1.804
0.003625909,1.672
0.003546091,1.544
0.003443527,1.422
0.003351362,1.306
0.00326018,1.166
0.00316052,1.08
0.003084178,0.949
0.002936505,0.858
0.002814607,0.735
0.002702091,0.607
0.00257536,0.507
0.002421094,0.378
0.002269222,0.302
0.002117439,0.195
0.002005298,0.101
0.001907371,0.031
0.001675842,-0.027
0.001521156,-0.119
0.001355374,-0.235
0.001167006,-0.272
0.001005352,-0.369
0.000849263,-0.427
0.000697677,-0.504
0.000521612,-0.589
0.000327178,-0.687
